Player,height,weight,collage,born,G,MP,FG,FGA,FT,FTA,3P,3PA,2P,2PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ryan Hollins,213,108,"University of California, Los Angeles",1984,639,7560,832,1434,647,1019,0,1,832,1433,584,833,1417,177,112,341,467,1255,2311
Ryan Humphrey,203,106,University of Notre Dame,1979,133,1216,113,347,64,115,0,3,113,344,120,168,288,29,29,37,71,188,290
Ryan Kelly,211,104,Duke University,1991,163,3125,324,857,231,290,102,323,222,534,77,427,504,215,79,84,106,309,981
Ryan Lorthridge,193,86,Jackson State University,1972,37,672,106,223,57,88,3,14,103,209,24,47,71,101,28,1,57,42,272
Ryan Reid,203,105,Florida State University,1986,5,17,4,5,0,0,0,0,4,5,1,1,2,0,0,0,1,1,8
Ryan Robertson,196,86,University of Kansas,1976,1,25,2,6,1,1,0,2,2,4,0,0,0,0,0,0,0,0,5
Ryan Stack,211,97,University of South Carolina,1975,43,397,31,88,37,47,0,1,31,87,34,45,79,10,6,22,26,78,99
Salah Mejri,216,111,NaN,1986,107,1302,137,215,63,107,1,4,136,211,138,293,431,24,40,97,63,206,338
Salim Stoudamire,185,81,University of Arizona,1982,157,2672,446,1097,201,228,167,456,279,641,22,192,214,164,55,10,158,240,1260
Sam Bowie,216,106,University of Kentucky,1961,511,14098,2127,4702,1278,1708,32,106,2095,4596,1192,2653,3845,1075,263,909,978,1553,5564
Sam Cassell,190,83,Florida State University,1969,1117,32999,6307,13966,3953,4589,778,2346,5529,11620,687,2867,3554,6494,1181,188,2703,3064,17345
Sam Dekker,206,104,University of Wisconsin,1994,80,1425,203,429,38,68,60,187,143,242,94,191,285,76,39,21,41,83,504
Sam Jacobson,193,97,University of Minnesota,1975,120,1433,228,447,64,87,18,49,210,398,53,98,151,68,63,6,67,247,538
Sam Mack,201,99,University of Houston,1970,303,6111,880,2165,307,366,416,1098,464,1067,123,505,628,391,199,41,253,553,2483
Sam Mitchell,198,95,Mercer University,1963,994,22257,3220,7206,2131,2719,65,292,3155,6914,1251,2460,3711,1089,548,301,838,2509,8636
Sam Perkins,206,106,University of North Carolina,1961,1365,38949,5879,12783,3729,4597,873,2419,5006,10364,2487,5703,8190,2131,1165,1015,1694,3402,16360
Sam Vincent,188,83,Michigan State University,1963,468,9028,1373,3052,909,1052,24,109,1349,2943,193,778,971,1924,323,76,791,743,3679
Sam Williams,190,81,University of Iowa,1945,46,488,58,148,28,47,0,1,58,147,38,68,106,11,26,26,44,92,144
Sam Young,198,99,University of Pittsburgh,1985,284,4341,605,1393,286,386,54,192,551,1201,183,452,635,195,151,63,220,334,1550
Samaki Walker,206,108,University of Louisville,1976,445,7612,936,2026,503,798,1,9,935,2017,627,1462,2089,252,134,316,403,895,2376
Samardo Samuels,206,117,University of Louisville,1989,109,1722,237,532,164,251,0,4,237,528,148,218,366,45,38,41,115,231,638
Samuel Dalembert,211,115,Seton Hall University,1981,886,21646,2810,5393,1193,1689,1,12,2809,5381,2289,4653,6942,465,437,1546,1271,2601,6814
Sarunas Jasikevicius,193,88,University of Maryland,1976,201,3503,426,1073,293,323,174,496,252,577,49,242,291,571,92,6,296,258,1319
Sarunas Marciulionis*,196,90,NaN,1964,363,8123,1571,3109,1362,1773,127,344,1444,2765,292,527,819,807,459,31,715,971,4631
Sasha Danilovic,196,90,NaN,1970,131,4120,579,1324,297,374,204,550,375,774,70,248,318,251,123,21,269,369,1659
Sasha Kaun,211,117,University of Kansas,1985,25,95,9,17,5,11,0,0,9,17,12,14,26,3,4,5,7,11,23
Sasha Pavlovic,211,122,NaN,1984,598,9250,1099,2723,345,514,320,921,779,1802,189,843,1032,533,282,105,472,1060,2863
Sasha Vujacic,201,88,NaN,1984,648,10556,1314,3352,492,575,630,1713,684,1639,235,1044,1279,880,390,39,394,1016,3750
Scooter McCray,206,97,University of Louisville,1960,30,372,36,75,23,45,0,0,36,75,25,50,75,30,10,7,34,41,95
Scot Pollard,211,120,University of Kansas,1975,506,8372,858,1738,506,714,0,2,858,1736,901,1450,2351,220,299,352,304,1178,2222
Scott Brooks,180,74,"University of California, Irvine",1965,739,10045,1359,3013,628,743,312,840,1047,2173,172,579,751,1724,514,34,498,884,3658
Scott Burrell,201,98,University of Connecticut,1971,440,8531,1069,2592,423,582,380,1025,689,1567,444,1046,1490,601,369,199,390,985,2941
Scott Haffner,190,81,University of Evansville,1966,50,609,96,238,18,27,3,23,93,215,9,46,55,89,16,3,37,57,213
Scott Haskin,211,113,Oregon State University,1970,27,186,21,45,13,19,0,0,21,45,17,38,55,6,2,15,13,33,55
Scott Hastings,208,106,University of Arkansas,1960,479,4710,460,1048,358,432,27,89,433,959,313,663,976,235,113,116,250,783,1305
Scott Machado,185,92,Iona College,1990,6,21,3,6,2,2,0,1,3,5,0,1,1,6,2,0,8,0,8
Scott Meents,208,102,University of Illinois at Urbana-Champaign,1964,39,201,26,72,19,27,1,1,25,71,10,30,40,15,11,7,15,17,72
Scott Padgett,206,108,University of Kentucky,1976,479,5844,695,1714,282,388,248,677,447,1037,418,863,1281,333,187,89,262,716,1920
